timestamp,open,high,low,close,volume
2025-05-06,557.9300,563.3476,556.9600,558.8000,48264708
2025-05-05,562.5700,566.6500,561.7000,563.5100,38659222
2025-05-02,564.7300,568.3800,562.3800,566.7600,60717270
2025-05-01,560.3700,564.0699,557.8600,558.4700,63186146
2025-04-30,547.5700,556.5200,541.5200,554.5400,93101463
2025-04-29,548.9100,555.4500,548.5500,554.3200,47775121
2025-04-28,551.3900,553.5500,545.0200,550.8500,47613755
2025-04-25,546.6500,551.0500,543.6900,550.6400,61119590
2025-04-24,536.7150,547.4300,535.4504,546.6900,64150418
2025-04-23,540.4300,545.4300,533.8800,535.4200,90590658
2025-04-22,520.1400,529.3050,519.1925,527.2500,75948117
2025-04-21,521.1600,521.7000,508.4600,513.8800,69368129
2025-04-17,527.6400,531.1650,523.9100,526.4100,79868083
2025-04-16,531.6800,537.8854,520.2900,525.6600,83484814
2025-04-15,539.6750,543.2300,536.8100,537.6100,56892874
2025-04-14,544.0500,544.2800,533.8600,539.1200,68033993
